geracao_primeira_avaliacao,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,criterion,class_weight,threshold,fitness,accuracy,precision,recall,f1,roc_auc
4,400,20.0,6,15,log2,log_loss,balanced_subsample,0.45,0.6518606036904473,0.6676083333333334,0.4732584729854261,0.7545506489266183,0.581682415496429,0.7651645642147529
4,100,,30,10,0.5,gini,balanced_subsample,0.45,0.6416100304544516,0.6730416666666666,0.47766941375463345,0.7222811743259053,0.575043053494644,0.7549270338005363
4,400,20.0,30,5,log2,entropy,balanced,0.45,0.6451635995093533,0.6655083333333334,0.4711476192099254,0.752210703888118,0.5793924406115413,0.7622232486255482
4,300,6.0,6,15,log2,entropy,balanced,0.45,0.609339349332096,0.64285,0.45135535688674283,0.7706309689004979,0.5692836468885673,0.7562384219472645
4,300,16.0,16,15,0.5,log_loss,balanced,0.6,0.5947510072328378,0.734975,0.5727043064449797,0.5304600984953609,0.5507733597005439,0.7632478199990489
4,100,,30,1,0.3,log_loss,balanced_subsample,0.3,0.5566108056037725,0.579775,0.410306194736704,0.8509781514434196,0.5536604147673462,0.7478404942024877
4,400,20.0,30,15,log2,gini,balanced_subsample,0.45,0.6513228486501685,0.6672416666666666,0.47291723479683667,0.7549587788751939,0.5815457165313073,0.7651728544130629
4,800,20.0,30,15,sqrt,log_loss,balanced,0.45,0.6487547587958418,0.663975,0.4700412876372059,0.762005822653933,0.5814293870348264,0.7653629888668488
4,400,20.0,30,15,0.3,log_loss,balanced_subsample,0.45,0.6508640382499721,0.669275,0.4746562089696635,0.7475580224743559,0.5806397075139744,0.7638343917719703
4,800,20.0,6,15,log2,gini,balanced_subsample,0.45,0.6510419467868717,0.6672083333333333,0.47287297527706734,0.754605066253095,0.5814072932717,0.7652061137493369
4,400,20.0,30,10,log2,gini,balanced,0.7,0.4930606253161638,0.7444333333333333,0.6484218742377676,0.36165755176448183,0.4643331237336687,0.7640591596081853
4,800,20.0,30,15,log2,log_loss,balanced,0.45,0.6487547587958418,0.663975,0.4700412876372059,0.762005822653933,0.5814293870348264,0.7653629888668488
4,200,20.0,30,15,log2,log_loss,balanced,0.5,0.6764222059583723,0.6967333333333333,0.5035848344620762,0.689902865072239,0.5822005878030859,0.765222961339756
4,400,,4,20,sqrt,entropy,balanced_subsample,0.45,0.651743782494185,0.667575,0.47322616975529846,0.7545506489266183,0.5816580147868492,0.7649849861222204
5,400,20.0,30,15,log2,gini,balanced_subsample,0.6,0.5928319646467592,0.7367833333333333,0.5772046738188447,0.5255353304492151,0.550159507804489,0.7651728544130629
5,200,20.0,30,8,log2,log_loss,balanced,0.65,0.5479089449688397,0.7419416666666667,0.6061885185728968,0.4493510733817648,0.5161179430285795,0.7634623161538868
5,400,20.0,6,15,sqrt,log_loss,balanced_subsample,0.45,0.6518606036904473,0.6676083333333334,0.4732584729854261,0.7545506489266183,0.581682415496429,0.7651645642147529
5,100,,4,20,log2,entropy,balanced_subsample,0.45,0.6512307741564335,0.6676083333333334,0.47323014896815635,0.7537071803662286,0.5814102362287358,0.7647166967467889
5,800,10.0,30,20,0.5,log_loss,balanced,0.55,0.6400019169298453,0.7183666666666667,0.5349518923902509,0.6157048404211901,0.572494750423761,0.7647452544527258
5,100,20.0,30,5,log2,entropy,balanced_subsample,0.7,0.4826044468662332,0.7444083333333333,0.6566718186501803,0.346801621636329,0.4538931324893613,0.7615031095323073
5,800,20.0,6,15,log2,gini,balanced,0.45,0.6485300938690854,0.66375,0.4698445700105632,0.762441161265747,0.5814054816689835,0.7652831471107112
5,100,,30,20,sqrt,entropy,balanced_subsample,0.45,0.6512307741564335,0.6676083333333334,0.47323014896815635,0.7537071803662286,0.5814102362287358,0.7647166967467889
5,500,20.0,4,20,log2,entropy,balanced_subsample,0.45,0.6499154464750826,0.6650416666666666,0.4709790563556035,0.7599379642478165,0.581541824996096,0.7660908094141174
5,200,20.0,4,15,log2,log_loss,balanced,0.5,0.6764222059583723,0.6967333333333333,0.5035848344620762,0.689902865072239,0.5822005878030859,0.765222961339756
5,650,20.0,30,15,log2,log_loss,balanced_subsample,0.5,0.672402980559221,0.7001333333333334,0.507798397728425,0.6812233014991973,0.5818633944549025,0.765173906192446
